Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Shahrukh_movie
2,4.9,3,1.4,0.2,Shahrukh_movie
3,4.7,3.2,1.3,0.2,Shahrukh_movie
4,4.6,3.1,1.5,0.2,Shahrukh_movie
5,5,3.6,1.4,0.2,Shahrukh_movie
6,5.4,3.9,1.7,0.4,Shahrukh_movie
7,4.6,3.4,1.4,0.3,Shahrukh_movie
8,5,3.4,1.5,0.2,Shahrukh_movie
9,4.4,2.9,1.4,0.2,Shahrukh_movie
10,4.9,3.1,1.5,0.1,Shahrukh_movie
11,5.4,3.7,1.5,0.2,Shahrukh_movie
12,4.8,3.4,1.6,0.2,Shahrukh_movie
13,4.8,3,1.4,0.1,Shahrukh_movie
14,4.3,3,1.1,0.1,Shahrukh_movie
15,5.8,4,1.2,0.2,Shahrukh_movie
16,5.7,4.4,1.5,0.4,Shahrukh_movie
17,5.4,3.9,1.3,0.4,Shahrukh_movie
18,5.1,3.5,1.4,0.3,Shahrukh_movie
19,5.7,3.8,1.7,0.3,Shahrukh_movie
20,5.1,3.8,1.5,0.3,Shahrukh_movie
21,5.4,3.4,1.7,0.2,Shahrukh_movie
22,5.1,3.7,1.5,0.4,Shahrukh_movie
23,4.6,3.6,1,0.2,Shahrukh_movie
24,5.1,3.3,1.7,0.5,Shahrukh_movie
25,4.8,3.4,1.9,0.2,Shahrukh_movie
26,5,3,1.6,0.2,Shahrukh_movie
27,5,3.4,1.6,0.4,Shahrukh_movie
28,5.2,3.5,1.5,0.2,Shahrukh_movie
29,5.2,3.4,1.4,0.2,Shahrukh_movie
30,4.7,3.2,1.6,0.2,Shahrukh_movie
31,4.8,3.1,1.6,0.2,Shahrukh_movie
32,5.4,3.4,1.5,0.4,Shahrukh_movie
33,5.2,4.1,1.5,0.1,Shahrukh_movie
34,5.5,4.2,1.4,0.2,Shahrukh_movie
35,4.9,3.1,1.5,0.1,Shahrukh_movie
36,5,3.2,1.2,0.2,Shahrukh_movie
37,5.5,3.5,1.3,0.2,Shahrukh_movie
38,4.9,3.1,1.5,0.1,Shahrukh_movie
39,4.4,3,1.3,0.2,Shahrukh_movie
40,5.1,3.4,1.5,0.2,Shahrukh_movie
41,5,3.5,1.3,0.3,Shahrukh_movie
42,4.5,2.3,1.3,0.3,Shahrukh_movie
43,4.4,3.2,1.3,0.2,Shahrukh_movie
44,5,3.5,1.6,0.6,Shahrukh_movie
45,5.1,3.8,1.9,0.4,Shahrukh_movie
46,4.8,3,1.4,0.3,Shahrukh_movie
47,5.1,3.8,1.6,0.2,Shahrukh_movie
48,4.6,3.2,1.4,0.2,Shahrukh_movie
49,5.3,3.7,1.5,0.2,Shahrukh_movie
50,5,3.3,1.4,0.2,Shahrukh_movie
51,7,3.2,4.7,1.4,vidya_balan_movie
52,6.4,3.2,4.5,1.5,vidya_balan_movie
53,6.9,3.1,4.9,1.5,vidya_balan_movie
54,5.5,2.3,4,1.3,vidya_balan_movie
55,6.5,2.8,4.6,1.5,vidya_balan_movie
56,5.7,2.8,4.5,1.3,vidya_balan_movie
57,6.3,3.3,4.7,1.6,vidya_balan_movie
58,4.9,2.4,3.3,1,vidya_balan_movie
59,6.6,2.9,4.6,1.3,vidya_balan_movie
60,5.2,2.7,3.9,1.4,vidya_balan_movie
61,5,2,3.5,1,vidya_balan_movie
62,5.9,3,4.2,1.5,vidya_balan_movie
63,6,2.2,4,1,vidya_balan_movie
64,6.1,2.9,4.7,1.4,vidya_balan_movie
65,5.6,2.9,3.6,1.3,vidya_balan_movie
66,6.7,3.1,4.4,1.4,vidya_balan_movie
67,5.6,3,4.5,1.5,vidya_balan_movie
68,5.8,2.7,4.1,1,vidya_balan_movie
69,6.2,2.2,4.5,1.5,vidya_balan_movie
70,5.6,2.5,3.9,1.1,vidya_balan_movie
71,5.9,3.2,4.8,1.8,vidya_balan_movie
72,6.1,2.8,4,1.3,vidya_balan_movie
73,6.3,2.5,4.9,1.5,vidya_balan_movie
74,6.1,2.8,4.7,1.2,vidya_balan_movie
75,6.4,2.9,4.3,1.3,vidya_balan_movie
76,6.6,3,4.4,1.4,vidya_balan_movie
77,6.8,2.8,4.8,1.4,vidya_balan_movie
78,6.7,3,5,1.7,vidya_balan_movie
79,6,2.9,4.5,1.5,vidya_balan_movie
80,5.7,2.6,3.5,1,vidya_balan_movie
81,5.5,2.4,3.8,1.1,vidya_balan_movie
82,5.5,2.4,3.7,1,vidya_balan_movie
83,5.8,2.7,3.9,1.2,vidya_balan_movie
84,6,2.7,5.1,1.6,vidya_balan_movie
85,5.4,3,4.5,1.5,vidya_balan_movie
86,6,3.4,4.5,1.6,vidya_balan_movie
87,6.7,3.1,4.7,1.5,vidya_balan_movie
88,6.3,2.3,4.4,1.3,vidya_balan_movie
89,5.6,3,4.1,1.3,vidya_balan_movie
90,5.5,2.5,4,1.3,vidya_balan_movie
91,5.5,2.6,4.4,1.2,vidya_balan_movie
92,6.1,3,4.6,1.4,vidya_balan_movie
93,5.8,2.6,4,1.2,vidya_balan_movie
94,5,2.3,3.3,1,vidya_balan_movie
95,5.6,2.7,4.2,1.3,vidya_balan_movie
96,5.7,3,4.2,1.2,vidya_balan_movie
97,5.7,2.9,4.2,1.3,vidya_balan_movie
98,6.2,2.9,4.3,1.3,vidya_balan_movie
99,5.1,2.5,3,1.1,vidya_balan_movie
100,5.7,2.8,4.1,1.3,vidya_balan_movie
101,6.3,3.3,6,2.5,Leonardo_Di_caprio_movie
102,5.8,2.7,5.1,1.9,Leonardo_Di_caprio_movie
103,7.1,3,5.9,2.1,Leonardo_Di_caprio_movie
104,6.3,2.9,5.6,1.8,Leonardo_Di_caprio_movie
105,6.5,3,5.8,2.2,Leonardo_Di_caprio_movie
106,7.6,3,6.6,2.1,Leonardo_Di_caprio_movie
107,4.9,2.5,4.5,1.7,Leonardo_Di_caprio_movie
108,7.3,2.9,6.3,1.8,Leonardo_Di_caprio_movie
109,6.7,2.5,5.8,1.8,Leonardo_Di_caprio_movie
110,7.2,3.6,6.1,2.5,Leonardo_Di_caprio_movie
111,6.5,3.2,5.1,2,Leonardo_Di_caprio_movie
112,6.4,2.7,5.3,1.9,Leonardo_Di_caprio_movie
113,6.8,3,5.5,2.1,Leonardo_Di_caprio_movie
114,5.7,2.5,5,2,Leonardo_Di_caprio_movie
115,5.8,2.8,5.1,2.4,Leonardo_Di_caprio_movie
116,6.4,3.2,5.3,2.3,Leonardo_Di_caprio_movie
117,6.5,3,5.5,1.8,Leonardo_Di_caprio_movie
118,7.7,3.8,6.7,2.2,Leonardo_Di_caprio_movie
119,7.7,2.6,6.9,2.3,Leonardo_Di_caprio_movie
120,6,2.2,5,1.5,Leonardo_Di_caprio_movie
121,6.9,3.2,5.7,2.3,Leonardo_Di_caprio_movie
122,5.6,2.8,4.9,2,Leonardo_Di_caprio_movie
123,7.7,2.8,6.7,2,Leonardo_Di_caprio_movie
124,6.3,2.7,4.9,1.8,Leonardo_Di_caprio_movie
125,6.7,3.3,5.7,2.1,Leonardo_Di_caprio_movie
126,7.2,3.2,6,1.8,Leonardo_Di_caprio_movie
127,6.2,2.8,4.8,1.8,Leonardo_Di_caprio_movie
128,6.1,3,4.9,1.8,Leonardo_Di_caprio_movie
129,6.4,2.8,5.6,2.1,Leonardo_Di_caprio_movie
130,7.2,3,5.8,1.6,Leonardo_Di_caprio_movie
131,7.4,2.8,6.1,1.9,Leonardo_Di_caprio_movie
132,7.9,3.8,6.4,2,Leonardo_Di_caprio_movie
133,6.4,2.8,5.6,2.2,Leonardo_Di_caprio_movie
134,6.3,2.8,5.1,1.5,Leonardo_Di_caprio_movie
135,6.1,2.6,5.6,1.4,Leonardo_Di_caprio_movie
136,7.7,3,6.1,2.3,Leonardo_Di_caprio_movie
137,6.3,3.4,5.6,2.4,Leonardo_Di_caprio_movie
138,6.4,3.1,5.5,1.8,Leonardo_Di_caprio_movie
139,6,3,4.8,1.8,Leonardo_Di_caprio_movie
140,6.9,3.1,5.4,2.1,Leonardo_Di_caprio_movie
141,6.7,3.1,5.6,2.4,Leonardo_Di_caprio_movie
142,6.9,3.1,5.1,2.3,Leonardo_Di_caprio_movie
143,5.8,2.7,5.1,1.9,Leonardo_Di_caprio_movie
144,6.8,3.2,5.9,2.3,Leonardo_Di_caprio_movie
145,6.7,3.3,5.7,2.5,Leonardo_Di_caprio_movie
146,6.7,3,5.2,2.3,Leonardo_Di_caprio_movie
147,6.3,2.5,5,1.9,Leonardo_Di_caprio_movie
148,6.5,3,5.2,2,Leonardo_Di_caprio_movie
149,6.2,3.4,5.4,2.3,Leonardo_Di_caprio_movie
150,5.9,3,5.1,1.8,Leonardo_Di_caprio_movie
